time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-01-01 22:15,4943.822,3517.196,356.368,751.061,113,58,207
2024-01-01 22:30,4943.904,3517.196,356.368,751.061,113,58,199
2024-01-01 22:45,4943.995,3517.196,356.368,751.061,115,42,218
2024-01-01 23:00,4944.073,3517.196,356.368,751.061,115,45,146
2024-01-01 23:15,4944.146,3517.196,356.368,751.061,105,42,143
2024-01-01 23:30,4944.206,3517.196,356.368,751.061,114,42,28
2024-01-01 23:45,4944.251,3517.196,356.368,751.061,77,42,28
2024-01-02 00:00,4944.285,3517.196,356.368,751.061,97,42,28
2024-01-02 00:15,4944.327,3517.196,356.368,751.061,66,42,27
2024-01-02 00:30,4944.359,3517.196,356.368,751.061,97,44,27
2024-01-02 00:45,4944.401,3517.196,356.368,751.061,61,85,27
2024-01-02 01:00,4944.437,3517.196,356.368,751.061,96,69,25
2024-01-02 01:15,4944.484,3517.196,356.368,751.061,76,67,25
2024-01-02 01:30,4944.522,3517.196,356.368,751.061,97,67,25
2024-01-02 01:45,4944.569,3517.196,356.368,751.061,86,67,25
2024-01-02 02:00,4944.608,3517.196,356.368,751.061,113,67,25
2024-01-02 02:15,4944.657,3517.196,356.368,751.061,113,67,25
2024-01-02 02:30,4944.701,3517.196,356.368,751.061,104,67,25
2024-01-02 02:45,4944.749,3517.196,356.368,751.061,96,67,27
2024-01-02 03:00,4944.790,3517.196,356.368,751.061,97,67,25
2024-01-02 03:15,4944.834,3517.196,356.368,751.061,96,67,25
2024-01-02 03:30,4944.876,3517.196,356.368,751.061,114,67,25
2024-01-02 03:45,4944.923,3517.196,356.368,751.061,113,67,25
2024-01-02 04:00,4944.970,3517.196,356.368,751.061,93,67,25
2024-01-02 04:15,4945.013,3517.196,356.368,751.061,97,68,26
2024-01-02 04:30,4945.057,3517.196,356.368,751.061,83,67,25
2024-01-02 04:45,4945.098,3517.196,356.368,751.061,104,67,25
